,review,label,count,review_nostop,nostop_count
856,poor reliability,0,2,poor reliability,2
857,it works,1,2,works,1
858,if i take a picture the battery drops a bar and starts beeping letting me know its dieing,0,18,take picture battery drops bar starts beeping letting know dieing,10
859,terrible product and waste of money,0,6,terrible product waste money,4
860,last time buying from you,0,5,last time buying,3
861,it was a waste of my money,0,7,waste money,2
862,so far it has worked like a charm,1,8,far worked like charm,4
863,i have only had it for a few weeks but so far so good,1,14,weeks far good,3
864,but in any case the best part is you can download these pictures to your laptop using ir or even send pictures from your laptop to the phone,1,28,case best part download pictures laptop using ir even send pictures laptop phone,13
865,would recommend this item,1,4,would recommend item,3
866,its been my choice headset for yearsgreat sound good volume good noise cancellation,1,13,choice headset yearsgreat sound good volume good noise cancellation,9
867,nice case feels good in your hands,1,7,nice case feels good hands,5
868,the item received was counterfeit,0,5,item received counterfeit,3
869,just really good so far probably the best bt headset i have ever had,1,14,really good far probably best bt headset ever,8
870,works fine,1,2,works fine,2
871,i received my headset in good time and was happy with it,1,12,received headset good time happy,5
872,i was very pleased to see that i could replace my well travled swivel holster for my blackberry flip,1,19,pleased see could replace well travled swivel holster blackberry flip,10
873,my sister has one also and she loves it,1,9,sister one also loves,4
874,good quality,1,2,good quality,2
875,this is by far the worst purchase ive made on amazon,0,11,far worst purchase ive made amazon,6
876,excellent dualpurpose headset,1,3,excellent dualpurpose headset,3
877,excellent,1,1,excellent,1
878,does not work for listening to music with the cingular ,0,10,work listening music cingular,4
879,it seems completely secure both holding on to my belt and keeping the iphone inside,1,15,seems completely secure holding belt keeping iphone inside,8
880,the bottowm lineanother worthless cheap gimmick from sprint,0,8,bottowm lineanother worthless cheap gimmick sprint,6
881,having trouble with volume,0,4,trouble volume,2
882,the only good thing was that it fits comfortably on small ears,1,12,good thing fits comfortably small ears,6
883,warning  do not buy,0,4,warning buy,2
884,i am pairing this with my iphone and i could not be happier with it so far,1,17,pairing iphone could happier far,5
885,when it opens the battery connection is broken and the device is turned off,0,14,opens battery connection broken device turned,6
886,i didnt want the clip going over the top of my ear causing discomfort,0,14,didnt want clip going top ear causing discomfort,8
887,best headset ever,1,3,best headset ever,3
888,dont trust their website and dont expect any helpful support,0,10,dont trust website dont expect helpful support,7
889,it was that loudglad to say that the plantronics  maintains a flawless connection to my cell and with no static during normal use,1,23,loudglad say plantronics maintains flawless connection cell static normal use,10
890,the speaker is of low quality so as making the ring tones sound very cheap,0,15,speaker low quality making ring tones sound cheap,8
891,fits comfortably came with three sizes of earbud tips,1,9,fits comfortably came three sizes earbud tips,7
892,excellent product for the price,1,5,excellent product price,3
893,bad reception,0,2,bad reception,2
894,this product is very high quality chinese crap,0,8,product high quality chinese crap,5
895,it was quite comfortable in the ear,1,7,quite comfortable ear,3
896,great phone,1,2,great phone,2
897,dont buy this product  it fails,0,6,dont buy product fails,4
898,everything about this product is wrongfirst,0,6,everything product wrongfirst,3
899,the pairing of the two devices was so easy it barely took a couple minutes before i started making calls with the voice dialing feature,1,25,pairing two devices easy barely took couple minutes started making calls voice dialing feature,14
900,this was utterly confusing at first which caused me to lose a couple of very very important contacts,0,18,utterly confusing first caused lose couple important contacts,8
901,terrible phone holder,0,3,terrible phone holder,3
902,the cutouts and buttons are placed perfectly,1,7,cutouts buttons placed perfectly,4
903,i love being able to use one headset for both by landline and cell,1,14,love able use one headset landline cell,7
904,problem is that the ear loops are made of weak material and break easily,0,14,problem ear loops made weak material break easily,8
905,not nearly as good looking as the amazon picture makes it look,0,12,nearly good looking amazon picture makes look,7
906,but despite these few flaws this case is of exceptional quality and well worth the additional costs of owning an official oem product,1,23,despite flaws case exceptional quality well worth additional costs owning official oem product,13
907,how stupid is that,0,4,stupid,1
908,i can hear while im driving in the car and usually dont even have to put it on its loudest setting,1,21,hear im driving car usually dont even put loudest setting,10
909,seller shipped quickly and much cheaper than the competitors,1,9,seller shipped quickly much cheaper competitors,6
910,good show samsung,1,3,good show samsung,3
911,so i bought about  of these and saved alot of money,1,11,bought saved alot money,4
912,it always cuts out and makes a beep beep beep sound then says signal failed,0,15,always cuts makes beep beep beep sound says signal failed,10
